head words,entry,sources,all lexemes,linked words,linked entries
"rîfo, hrîffo","<heading variants="rîfo, hrîffo"><strong>rîfo (hrîffo)</strong></heading> <gender>мр</gender> (n) <em>иней, изморозь</em>, <lang>свн.</lang> <lex>rîfe</lex>; <lang>нн.</lang> <lex>Reif</lex>; <lang>дс.</lang> <lex>hrîpo</lex>, <lang>да.</lang> <lang>ди.</lang> <lex>hrīm</lex>, ср. <lang>латыш.</lang> <lex>kreims</lex> <em>сливки</em>.",,"rîfe, Reif, hrīm, hrîpo, kreims",,
"rîheit","<heading><strong>rîheit</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>богатство; знатное про­исхождение</em>.",,,,
"rîhhi, rîch","<heading><strong>rîhhi</strong></heading>, <heading><strong>rîch</strong></heading>, <lang>свн.</lang> <lex>rîche</lex>, <lex>rîch</lex>, (прил.) перв. <em>королевский</em> (<lang>лат.</lang> <lex>regius</lex>); затем <em>силь­ный, могущественный; знатный; бо­гатый</em>; <lang>нн.</lang> <lex>reich</lex>; <lang>дс.</lang> <lex>rîki</lex>, <lang>да.</lang> <lex>rīce</lex>, <lang>ди.</lang> <lex>rikr</lex>.",,"reich, rîch, rîki, rîche, rikr, rīce, regius",,
"rîhhi, rîchi, rîhi","<heading><strong>rîhhi</strong></heading>, <heading><strong>rîchi</strong></heading>, <heading><strong>rîhi</strong></heading> <gender>срр</gender> (ja) <em>царсто, страна, господство; властитель, владыка</em> <source>— Мусп. 35—</source>; <lang>свн.</lang> также <em>правление, король</em>; <lang>нн.</lang> <lex>Reich</lex>; <lang>дс.</lang> <lex>rîki</lex>, <lang>да.</lang> <lex>rīce</lex>, <lang>ди.</lang> <lex>riki</lex>, <lang>го.</lang> <lex>reiki</lex>; обычно рассматривается как заимствование из <lang>кельтск.</lang> ср. <lang>лат.</lang> <lex>rex</lex>, род. <lex>regis</lex>.","Мусп. 35","Reich, reiki, rîki, regis, rīce, riki, rex",,
"rihhisôn, richesôn","<heading><strong>rihhisôn</strong></heading>, <heading><strong>richesôn</strong></heading> (слгл. 2) <em>господство­вать, царствовать</em>; <lang>да.</lang> <lex>rīcsian</lex>.",,"rīcsian",,
"rîhhituom, rîhiduam, rîhtuom","<heading><strong>rîhhituom</strong></heading>, <heading><strong>rîhiduam</strong></heading>, <heading><strong>rîhtuom</strong></heading> <gender>мр</gender> (a) <em>сила, мощь, богатство, изобилие</em>; <lang>свн.</lang> <lex>rîchtuom</lex>; <lang>нн.</lang> <lex>Reichtum</lex>.",,"rîchtuom, Reichtum",,
"rihtâri","<heading><strong>rihtâri</strong></heading> <gender>мр</gender>, <lang>свн.</lang> <lex>rihter</lex> <em>судья</em>; <lang>нн.</lang> <lex>Richter</lex>; произв. от гл. <lex>rihten</lex>.",,"Richter, rihter, rihten",,
"rihten","<heading><strong>rihten</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (слгл. 1) <em>выпрямлять, правильно делать, налаживать; на­правлять</em>; <lang>нн.</lang> <lex>richten</lex> <em>направлять</em>.",,"richten",,
"rihter","<heading><strong>rihter</strong></heading> <gender>мр</gender>, <linked>см. rihtâri</linked>.",,,"rihtâri","<heading><strong>rihtâri</strong></heading> <gender>мр</gender>, <lang>свн.</lang> <lex>rihter</lex> <em>судья</em>; <lang>нн.</lang> <lex>Richter</lex>; произв. от гл. <lex>rihten</lex>."
"rihti","<heading><strong>rihti</strong></heading> <gender>жр</gender> <em>прямодушие, справедливость</em>.",,,,
"rihtunga","<heading><strong>rihtunga</strong></heading> <gender>жр</gender> (ô) <em>судебное следствие, реше­ние, приговор</em>; <lang>да.</lang> <lex>rihtunƷ</lex>.",,"rihtunƷ",,
"rind, hrind","<heading><strong>rind</strong></heading>, <heading><strong>hrind</strong></heading> <gender>срр</gender> (a), <lang>свн.</lang> <lex>rint</lex> <em>бык, вол</em>; <lang>нн.</lang> <lex>Rind</lex>; <lang>дс.</lang> <lex>hrith</lex>, <lang>да.</lang> <lex>hriðer</lex>; ср. <lang>русск.</lang> <lex>«корова»</lex>.",,"rint, hrith, hriðer, «корова», Rind",,
"ring, hring","<heading><strong>ring</strong></heading>, <heading><strong>hring</strong></heading> <gender>мр</gender> (a) <em>кольцо, обруч; кольчуга; венок; круг, собрание</em>; <lang>свн.</lang> <lex>rinc</lex> также <em>место турниров; место судебных заседа­ний, площадь</em>; <lang>нн.</lang> <lex>Ring</lex>; <lang>дс.</lang> <lex>bring</lex>, <lang>да.</lang> <lex>hrinƷ</lex>, <lang>ди.</lang> <lex>hringr</lex>; ср. <lang>русск.</lang> <lex>«круг»</lex>.",,"Ring, «круг», hrinƷ, bring, hringr, rinc",,
"ringan","<heading><strong>ringan</strong></heading> (снгл. 3), <lang>свн.</lang> <lex>ringen</lex> <em>бороться, сражаться; стремиться, добиваться</em>; <lang>нн.</lang> <lex>ringen</lex> <lex>u</lex> <lex>wringen</lex> (из <lang>нжн.</lang>) <em>вы­жимать (белье)</em>; <lang>да.</lang> <lex>wrinƷan</lex>, <lang>а.</lang> <lex>wring</lex> <em>вертеть, сжимать</em>; ср. <lang>го.</lang> <lex>wruggō</lex> <gender>жр</gender> <em>петля</em>.",,"u, wrinƷan, wringen, wring, ringen, wruggō",,
"rinnan","<heading><strong>rinnan</strong></heading> <lang>двн.</lang> <lang>дс.</lang> <lang>да.</lang> <lang>го.</lang> (снгл. 3), <lang>свн.</lang> <lex>rinnen</lex> <em>быстро двигаться, бежать</em>; <lang>нн.</lang> <lex>rinnen</lex> <em>течь</em>; <lang>ди.</lang> <lex>rinna</lex>; ср. <lang>русск.</lang> <lex>«ронять»</lex>.",,"«ронять», rinna, rinnen",,
"riomo","<heading><strong>riomo</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>rieme</lex> <em>ремень</em>; <lang>нн.</lang> <lex>Riemen</lex>; <lang>дс.</lang> <lex>riomo</lex>, <lang>да.</lang> <lex>rēoma</lex>.",,"Riemen, riomo, rieme, rēoma",,
"rîtan","<heading><strong>rîtan</strong></heading>, <lang>свн.</lang> <lex>rîten</lex> (снгл. 1) перв. <em>двигаться</em>, потом <em>ехать верхом</em>; <lang>нн.</lang> <lex>reiten</lex>; <lang>дс.</lang> <lang>да.</lang> <lex>ridan</lex>, <lang>ди.</lang> <lex>riða</lex> также <em>подняться (на битву)</em>.",,"ridan, reiten, rîten, riða",,
"rito","<heading><strong>rito</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>rite</lex> <em>лихорадка</em>; <lang>нн.</lang> <lex>Ritten</lex> было вытеснено в XVII в. синон. <lex>Fieber</lex> (<lang>двн.</lang> <lex>fiebar</lex> <gender>срр</gender>, <lang>да.</lang> <lex>fēfor</lex> <gender>мр</gender> из <lang>лат.</lang> <lex>febris</lex>; <lang>рнвн.</lang> <lex>feber</lex> явилось новым обра­зованием по образцу <lang>лат.</lang>).",,"Fieber, fiebar, rite, febris, feber, Ritten, fēfor",,
"ritter","<heading><strong>ritter</strong></heading> <lang>свн.</lang> <gender>мр</gender> (a) <em>рыцарь</em>; <lang>нн.</lang> <lex>Ritter</lex>; прибл. с 1170 г.; перв. (ок. 1100 г.) в <lang>сндл.</lang>: <lex>riddere</lex> как калька <lang>слат.</lang> <lex>miles</lex> <em>воин</em>, <lang>франц.</lang> <lex>chevalier</lex> <em>всадник</em>; <lang>са.</lang> <lex>riddere</lex>, <lang>ди.</lang> <lex>riddari</lex>; <lang>нн.</lang> <lex>Reiter</lex> <em>всадник</em> = <lang>двн.</lang> <lex>ritari</lex>, <lang>свн.</lang> <lex>rîtære</lex>, <lex>rîter</lex>, <linked>см. rîtan</linked>.",,"rîtære, miles, riddere, rîter, Reiter, riddari, Ritter, ritari, chevalier","rîtan","<heading><strong>rîtan</strong></heading>, <lang>свн.</lang> <lex>rîten</lex> (снгл. 1) перв. <em>двигаться</em>, потом <em>ехать верхом</em>; <lang>нн.</lang> <lex>reiten</lex>; <lang>дс.</lang> <lang>да.</lang> <lex>ridan</lex>, <lang>ди.</lang> <lex>riða</lex> также <em>подняться (на битву)</em>."
"ritterlîch","<heading><strong>ritterlîch</strong></heading> <lang>свн.</lang> (прил.) <em>рыцарский, стат­ный</em>; <lang>нн.</lang> <lex>ritterlîch</lex>.",,"ritterlîch",,
"ritterscaft","<heading><strong>ritterscaft</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>рыцарское сословие, рыцарская деятельность; рыцарство</em>; <lang>нн.</lang> <lex>Ritterschaft</lex>.",,"Ritterschaft",,
"riutel","<heading><strong>riutel</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>лопатка</em> или <em>палка (ко­торою очищают плуг от приставшей земли)</em>; ср. <lang>нн.</lang> <lex>Pflugreute</lex>.",,"Pflugreute",,
"riuten","<heading><strong>riuten</strong></heading> <lang>свн.</lang> <em>вырывать с корнем, корче­вать, полоть</em>; <lang>нн.</lang> <lex>reuten</lex>; <lang>ди.</lang> <lex>ryðja</lex>.",,"reuten, ryðja",,
"riuwa","<heading><strong>riuwa</strong></heading> <gender>жр</gender> (ô), <lang>свн.</lang> <lex>riuwe</lex> <em>печаль, огорче­ние, скорбь</em>, позднее <em>раскаяние, покая­ние</em>; <lang>нн.</lang> <lex>Reue</lex>; <lang>да.</lang> <lex>hrēow</lex>.",,"hrēow, Reue, riuwe",,
"riuwec","<heading><strong>riuwec</strong></heading> <lang>свн.</lang> (прил.) <em>грустный, печаль­ный</em>; ср. <lang>нн.</lang> <lex>reuig</lex> <em>кающийся</em>.",,"reuig",,
"riuwen","<heading><strong>riuwen</strong></heading> <lang>свн.</lang> (снгл.), <linked>см. hriuwan</linked>.",,,"hriuwan","<heading><strong>hriuwan</strong></heading> (снгл. 2), <lang>свн.</lang> <lex>riuwen</lex> <em>ощущать боль, быть печальным; опечалить; сжа­литься</em>; <lang>нн.</lang> <lex>reuen</lex> <em>сожалеть</em>; <lang>дс.</lang> <lex>hreuwan</lex>, <lang>да.</lang> <lex>hreowan</lex>."
"rôken","<heading><strong>rôken</strong></heading> <lang>нжн.</lang> <em>печалиться, огорчаться</em>.",,,,
"ros, ros, hros","<heading><strong>ros</strong></heading>, <heading variants="ros, hros"><strong>(h)ros</strong></heading>, <lang>свн.</lang> <lex>ros</lex> <gender>срр</gender> (a) <em>конь, лошадь</em>; <lang>нн.</lang> <lex>Roß</lex>; <lang>дс.</lang> <lex>hross</lex>, <lex>hers</lex>, <lang>да.</lang> <lang>са.</lang> <lex>hors</lex>, <lang>а.</lang> <lex>horse</lex>, <lang>ди.</lang> <lex>hross</lex>.",,"Roß, ros, hross, horse, hors, hers",,
"rôt","<heading><strong>rôt</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>красный</em>; <lang>нн.</lang> <lex>rot</lex>; <lang>дс.</lang> <lex>rôd</lex>, <lang>да.</lang> <lex>rēad</lex>, <lang>а.</lang> <lex>red</lex>, <lang>ди.</lang> <lex>rauðr</lex>, <lang>го.</lang> <lex>rauþs</lex>; ср. <lang>лат.</lang> <lex>rufus</lex> <em>красный</em>, <lex>rubidus</lex> <em>темно-красный</em>, <lang>русск.</lang> <lex>«рья­ный»</lex>, <lang>греч.</lang> <lex>erythrós</lex>.",,"rauþs, «рья­ный», rot, rēad, rauðr, red, rôd, erythrós, rubidus, rufus",,
"rôte","<heading><strong>rôte</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>красный цвет, румянец</em>; <lang>нн.</lang> <lex>Röte</lex>.",,"Röte",,
"roub, raub","<heading><strong>roub</strong></heading>, <heading><strong>raub</strong></heading> <gender>мр</gender> (a), <lang>свн.</lang> <lex>roup</lex> <em>грабеж, до­быча</em>; <lang>нн.</lang> <lex>Raub</lex>; <lang>да.</lang> <lex>rēaf</lex> <gender>срр</gender>, <lex>rauba</lex> <source>— Хильт. 57—</source> вин. мн. или <gender>жр</gender> (ô) <em>платье; одежда, захваченная у врага; одеяние война</em>; ср. <lang>франц.</lang> <lex>robe</lex>, <lang>ит.</lang> <lex>roba</lex>; <lex>roubes</lex> <lang>свн.</lang> (нар.) <em>по-разбойничьи</em>.","Хильт. 57","roba, Raub, robe, rēaf, roup, rauba, roubes",,
"roubôn","<heading><strong>roubôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>rouben</lex> <em>насильст­венно выхватывать, грабить</em>; <lang>нн.</lang> <lex>rau­ben</lex>; <lang>дс.</lang> <lex>rôƀon</lex>, <lang>да.</lang> <lex>rēafian</lex>, <lang>а.</lang> <lex>reave</lex>, <lang>ди.</lang> <lex>raufa</lex>.",,"rouben, rēafian, rau­ben, reave, rôƀon, raufa",,
"rouhhen","<heading><strong>rouhhen</strong></heading> (слгл. 1) <em>кадить</em>.",,,,
"rudo","<heading><strong>rudo</strong></heading>, <lang>свн.</lang> <lex>rüde</lex> <gender>мр</gender> (n) <em>окотиться собака</em>; <lang>нн.</lang> <lex>Rüde</lex>.",,"rüde, Rüde",,
"ruken","<heading><strong>ruken</strong></heading> <lang>нжн.</lang> (снгл.) <em>нюхать, обонять, чу­ять</em>; <lang>нн.</lang> <lex>riechen</lex>.",,"riechen",,
"rucki, hrukki","<heading><strong>rucki</strong></heading>, <heading><strong>hrukki</strong></heading> <gender>мр</gender> (ja), <lang>свн.</lang> <lex>rücke</lex> <em>спина</em>; <lang>нн.</lang> <lex>Rücken</lex>; <lang>дс.</lang> <lex>hruggi</lex>, <lang>да.</lang> <lex>hryƷ</lex>, <lang>ди.</lang> <lex>hryggr</lex>.",,"hryggr, hryƷ, rücke, Rücken, hruggi",,
"rüefen","<heading><strong>rüefen</strong></heading> <lang>свн.</lang>, <linked>см. ruofan</linked>.",,,"ruofan","<heading><strong>ruofan</strong></heading>, <heading><strong>hruoffan</strong></heading> (снгл. 7), <lang>свн.</lang> <lex>ruofen</lex> <em>кричать, взывать, восклицать</em>; <lang>нн.</lang> <lex>rufen</lex>; <lang>дс.</lang> <lang>да.</lang> <lex>hrôpan</lex>; с тем же зна­чением <lang>двн.</lang> <lex variants="hruofen, ruofen">(h)ruofen</lex> (слгл. 1), <lang>свн.</lang> <lex>rüefen</lex>; <lang>ди.</lang> <lex>hrópa</lex>, <lang>го.</lang> <lex>hrōpjan</lex>; ср. <lang>лат.</lang> <lex>crepāre</lex> <em>стучать, шуметь, тре­щать</em>."
"rûmen","<heading><strong>rûmen</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (слгл. 1) <em>приготовить место, очистить, покинуть</em>; возвр. с род.<source>— Хильт. 61—</source> <em>бросить на про­извол судьбы</em>; <lang>нн.</lang> <lex>räumen</lex> <em>очищать (помещение)</em>, сн. <lang>юн.</lang> <lex>räumen</lex>; <lang>дс.</lang> <lex>rumian</lex>, <lang>да.</lang> <lex>rȳman</lex>, <lang>ди.</lang> <lex>rȳma</lex>.","Хильт. 61","rumian, rȳman, räumen, rȳma",,
"rûna","<heading><strong>rûna</strong></heading> <lang>двн.</lang> <lang>дс.</lang> <lang>го.</lang> <lang>свн.</lang> <lex>rûne</lex> <gender>жр</gender> <em>тайна</em>; <lang>да.</lang> <lex>rūn</lex>, <lang>ди.</lang> <lex>rúnar</lex> мн. <em>тайна, тайная беседа, руны (письмена)</em>, <lang>нн.</lang> <lex>Rune</lex> <em>руна</em>.",,"rûne, rūn, rúnar, Rune",,
"ruova","<heading><strong>ruova</strong></heading> <gender>жр</gender> (ô) <em>число, платеж</em>.",,,,
"ruofan, hruoffan","<heading><strong>ruofan</strong></heading>, <heading><strong>hruoffan</strong></heading> (снгл. 7), <lang>свн.</lang> <lex>ruofen</lex> <em>кричать, взывать, восклицать</em>; <lang>нн.</lang> <lex>rufen</lex>; <lang>дс.</lang> <lang>да.</lang> <lex>hrôpan</lex>; с тем же зна­чением <lang>двн.</lang> <lex variants="hruofen, ruofen">(h)ruofen</lex> (слгл. 1), <lang>свн.</lang> <lex>rüefen</lex>; <lang>ди.</lang> <lex>hrópa</lex>, <lang>го.</lang> <lex>hrōpjan</lex>; ср. <lang>лат.</lang> <lex>crepāre</lex> <em>стучать, шуметь, тре­щать</em>.",,"hrôpan, crepāre, hruofen, rufen, ruofen, hrōpjan, rüefen, hrópa",,
